model,ID,kraken_present,cv_fold,logp
ucb_lcb_n,415.0,0.0,0.0,-25.50174307823181
ucb_lcb_n,416.0,0.0,0.0,-50.57675385475159
ucb_lcb_n,417.0,0.0,0.0,-41.476954221725464
ucb_lcb_n,418.0,0.0,0.0,-40.20310127735138
ucb_lcb_n,419.0,0.0,0.0,-47.6911244392395
ucb_lcb_n,420.0,0.0,0.0,-30.13613998889923
ucb_lcb_n,421.0,0.0,0.0,-19.678725123405457
ucb_lcb_n,422.0,0.0,0.0,-19.30413645505905
ucb_lcb_n,424.0,0.0,0.0,0.0
ucb_lcb_n,425.0,0.0,0.0,-29.618169009685516
ucb_lcb_n,426.0,0.0,0.0,-51.65287733078003
ucb_lcb_n,428.0,0.0,0.0,-31.284757137298584
ucb_lcb_n,429.0,0.0,0.0,-22.90031225979328
ucb_lcb_n,430.0,0.0,0.0,-28.402050256729126
ucb_lcb_n,431.0,0.0,0.0,-37.82562208175659
ucb_lcb_n,432.0,0.0,0.0,-44.84684693813324
ucb_lcb_n,433.0,0.0,0.0,-22.351982921361923
ucb_lcb_n,434.0,0.0,0.0,-15.920482367277145
ucb_lcb_n,435.0,0.0,0.0,-22.671270042657852
ucb_lcb_n,436.0,0.0,0.0,-11.974286615848541
ucb_lcb_n,437.0,0.0,0.0,-31.266308933496475
ucb_lcb_n,438.0,0.0,0.0,-47.193397998809814
ucb_lcb_n,439.0,0.0,0.0,-20.064404904842377
ucb_lcb_n,440.0,0.0,0.0,-21.54823124408722
ucb_lcb_n,441.0,0.0,0.0,-42.53395080566406
ucb_lcb_n,442.0,0.0,0.0,-0.03170613432303071
ucb_lcb_n,443.0,0.0,0.0,-37.10856033861637
ucb_lcb_n,444.0,0.0,0.0,-26.83963844180107
ucb_lcb_n,445.0,0.0,0.0,-63.29126834869385
ucb_lcb_n,446.0,0.0,0.0,-36.1364049911499
ucb_lcb_n,447.0,0.0,0.0,-25.011329770088196
ucb_lcb_n,448.0,0.0,0.0,-19.429418206214905
ucb_lcb_n,449.0,0.0,0.0,-47.520113945007324
ucb_lcb_n,450.0,0.0,0.0,-27.461771726608276
ucb_lcb_n,451.0,0.0,0.0,-16.679314136505127
ucb_lcb_n,452.0,0.0,0.0,-21.983805179595947
ucb_lcb_n,453.0,0.0,0.0,-25.06147101521492
ucb_lcb_n,454.0,0.0,0.0,-19.092216983437538
ucb_lcb_n,455.0,0.0,0.0,-18.417136907577515
ucb_lcb_n,456.0,0.0,0.0,-40.01102864742279
ucb_lcb_n,457.0,0.0,0.0,-48.22182269394398
ucb_lcb_n,458.0,0.0,0.0,-23.734250677749515
ucb_lcb_n,459.0,0.0,0.0,-21.06013983488083
ucb_lcb_n,460.0,0.0,0.0,-11.128201723098755
ucb_lcb_n,461.0,0.0,0.0,-42.15887898206711
ucb_lcb_n,462.0,0.0,0.0,-35.54078161716461
ucb_lcb_n,463.0,0.0,0.0,-21.409408390522003
ucb_lcb_n,464.0,0.0,0.0,-37.647491693496704
ucb_lcb_n,465.0,0.0,0.0,-22.646616376936436
ucb_lcb_n,466.0,0.0,0.0,-38.852410078048706
ucb_lcb_n,467.0,0.0,0.0,-6.8763487637043
ucb_lcb_n,468.0,0.0,0.0,-25.38399076461792
